Year,Title,Theater,Day of the Week,Date,Time,Saw with April
2015,Monkey Kingdom,Mall St. Matthews,Tuesday,4/28/2015,11:45 AM,Y
2015,Avengers: Age of Ultron,Baxter Avenue,Thursday,4/30/2015,7:30 PM,Y
2015,Avengers: Age of Ultron,Baxter Avenue,Monday,5/4/2015,1:00 PM,Y
2015,Avengers: Age of Ultron,Baxter Avenue,Tuesday,5/5/2015,1:00 PM,Y
2015,Woman in Gold,Baxter Avenue,Sunday,5/10/2015,1:15 PM,Y
2015,Mad Max: Fury Road,Baxter Avenue,Tuesday,5/19/2015,1:20 PM,N
2015,Poltergeist (2015),Tinseltown,Monday,6/1/2015,11:00 AM,N
2015,Pitch Perfect 2,Mall St. Matthews,Sunday,6/7/2015,10:45 AM,Y
2015,Tomorrowland,Baxter Avenue,Monday,6/15/2015,1:00 PM,N
2015,Jurassic World,Baxter Avenue,Tuesday,6/16/2015,7:25 PM,Y
2015,Jurassic World,Mall St. Matthews,Thursday,6/18/2015,4:00 PM,N
2015,Inside Out,Mall St. Matthews,Thursday,6/18/2015,8:00 PM,Y
2015,Terminator: Genysis,Baxter Avenue,Monday,7/6/2015,1:30 PM,N
2015,"Me, Earl, and the Dying Girl",Baxter Avenue,Monday,7/6/2015,7:20 PM,Y
2015,Antman,Baxter Avenue,Sunday,7/19/2015,7:20 PM,Y
2015,Trainwreck Movie,Mall St. Matthews,Saturday,7/25/2015,10:25 AM,Y
2015,Minions,Mall St. Matthews,Tuesday,7/28/2015,10:45 AM,N
2015,A Lego Brickumentary,Village 8,Monday,8/3/2015,12:55 PM,N
2015,Mr. Holmes,Tinseltown,Sunday,8/9/2015,1:40 PM,Y
2015,Mission Impossible: Rogue Nation,Tinseltown,Tuesday,8/11/2015,10:30 AM,N
2015,Fantastic 4 (2015),Tinseltown,Tuesday,8/11/2015,1:30 PM,N
2015,Black Mass,Mall St. Matthews,Saturday,9/19/2015,12:00 PM,Y
2015,Maze Runner: The Scroch Trials,Mall St. Matthews,Monday,9/28/2015,11:45 AM,N
2015,The Martian,Baxter Avenue,Tuesday,10/6/2015,1:00 PM,N
2015,Bridge of Spies,Mall St. Matthews,Sunday,10/18/2015,12:20 PM,Y
2015,Pan,Mall St. Matthews,Tuesday,10/20/2015,11:24 AM,N
2015,Last Witch Hunter,Baxter Avenue,Monday,10/26/2015,1:40 PM,N
2015,The Intern,Baxter Avenue,Saturday,10/31/2015,1:25 PM,Y
2015,Spectre,Baxter Avenue,Friday,11/6/2015,1:00 PM,N
2015,Rock the Kasbah,Village 8,Monday,11/9/2015,12:50 PM,N
2015,Inside Out,Village 8,Monday,11/9/2015,7:45 PM,Y
2015,Love the Coopers,Tinseltown,Saturday,11/21/2015,14:10,Y
2015,The Good Dinosaur,Tinseltown,Thursday,11/26/2015,8:35 PM,Y
2015,Spotlight,Baxter Avenue,Sunday,11/29/2015,7:20 PM,Y
2015,Victor Frankenstein,Mall St. Matthews,Monday,11/30/2015,11:05 AM,N
2015,Hunger Games: Mockingjay Pt. 2,Ft. Lauderdale EcoDiscovery Center IMAX,Thursday,12/3/2015,1:50 PM,Y
2015,Star Wars Episode I-VII,Tinseltown,Thursday,12/17/2015,3:00 AM,Y
2015,Star Wars Episode VII: The Force Awakens,Baxter Avenue,Monday,12/21/2015,7:20 PM,N
2015,Creed,Mall St. Matthews,Tuesday,12/22/2015,9:15 AM,N
2015,Star Wars Episode VII: The Force Awakens,XScape Blankenbaker,Tuesday,12/29/2015,7:30 PM,Y
2016,Sisters,Baxter Avenue,Saturday,1/2/2016,1:25 PM,Y
2016,Hateful 8,Baxter Avenue,Tuesday,1/5/2016,12:50 PM,N
2016,The Big Short,Baxter Avenue,Wednesday,1/6/2016,7:10 PM,Y
2016,Kung Fu Panda 3,Baxter Avenue,Saturday,1/30/2016,1:05 PM,Y
2016,"Hail, Caesar!",Tinseltown,Monday,2/8/2016,11:35 AM,N
